Number,Target variable,Ankle flexion/extension angle,Knee ad/abduction angle,Pelvic obliquity angle,Pelvic rotation angle,Lumbar rotation angle,M/L COM position,Vertical COM position,Biceps femoris short head,Adductor brevis,Tensor fasciae latae,Piriformis,Rectus femoris,Vastus lateralis,Medial gastrocnemius,Soleus
26,14.10254731,20.1424,5.91799,3.68646,-0.831856,9.61147,212.233,975.513,0.13996459,0.034763869,0.12018474,0.215297051,3.071410694,4.104610742,0.370734921,1.416985714
27,14.1777332,20.6412,5.95244,3.79104,-1.07376,8.92687,212.223,972.206,0.149950074,0.036781633,0.119926619,0.21033317,3.033684681,3.905573473,0.464047355,1.429331584
28,14.20090067,21.3116,5.96042,3.88069,-1.30606,8.23983,212.229,968.99,0.162215613,0.038911458,0.119479199,0.205529132,2.98358391,3.709493684,0.595619471,1.429842943
29,14.14933923,22.1295,5.94151,3.95016,-1.52698,7.55223,212.25,965.897,0.176994448,0.040535901,0.119015837,0.201393802,2.917631649,3.530871539,0.749718264,1.39474727
30,14.03366634,23.0683,5.89407,3.99448,-1.7352,6.86538,212.286,962.96,0.19703316,0.045455266,0.118468456,0.193594706,2.828264668,3.334950985,0.96331394,1.418698312
31,20.46114192,5.59835,6.67928,-1.83634,0.642679,9.79721,307.643,1027.94,0.105682973,0.044011557,0.13077135,0.664286538,2.676676939,15.85232642,0.059478748,0.960292351
32,20.75193166,5.45398,7.10735,-1.73004,0.51255,9.41942,307.232,1024.77,0.102559982,0.052017122,0.114067199,0.641626952,2.586680988,15.43727657,0.074441164,1.106884708
33,20.86625048,5.37287,7.59513,-1.59789,0.365399,9.01681,306.815,1021.48,0.102890549,0.053577086,0.094778501,0.613836782,2.530120393,14.86597826,0.10871359,1.43519905
34,20.81762334,5.39805,8.14809,-1.44374,0.204861,8.59188,306.393,1018.08,0.108908892,0.050711875,0.081813285,0.585535069,2.525063835,14.23672734,0.149491778,1.728063534
35,20.60637806,5.57018,8.76279,-1.27234,0.0348142,8.14724,305.963,1014.62,0.117572556,0.045488494,0.07857237,0.55368953,2.561107472,13.51759318,0.201613118,1.766497365
36,20.32609907,5.92183,9.42594,-1.08912,-0.140646,7.68568,305.525,1011.14,0.125006376,0.043281667,0.086802958,0.525917214,2.624422321,12.84010504,0.270664913,1.77463415
37,19.49876233,6.70299,12.3277,-1.29295,-6.73743,3.92716,109.929,1042.67,0.135063648,0.068913573,0.121559093,0.219553126,2.707604371,13.65980532,0.0892524,1.548497491
38,19.77409804,6.69394,14.0486,-1.26559,-6.89985,3.4988,110.437,1038.26,0.12249787,0.104466429,0.066307341,0.216967821,2.473254954,13.31153753,0.110891305,1.614257861
39,19.75177647,6.88085,15.8588,-1.22614,-7.06711,3.05383,110.961,1033.71,0.12478736,0.093993506,0.030268467,0.211449727,2.43091555,12.6991674,0.155177625,1.649850162
40,19.64479725,7.29368,17.7275,-1.17681,-7.23687,2.59379,111.5,1029.04,0.13332657,0.066459759,0.027591315,0.200891659,2.57967417,12.02526231,0.22245959,1.664487688
41,19.57943393,7.9482,19.6204,-1.12007,-7.40684,2.1202,112.052,1024.28,0.141271373,0.057582102,0.041788682,0.192448794,2.732853814,11.3738116,0.305220026,1.664580567
42,19.52558636,8.84554,21.5012,-1.0586,-7.57494,1.63455,112.614,1019.47,0.148753073,0.061445815,0.067799629,0.19540082,2.830310967,10.6086252,0.4073736,1.658533832
43,14.79937363,2.66062,1.0208,0.398701,-0.750145,-2.49556,94.1458,1034.2,0.09371297,0.061280265,0.087195886,0.795912512,1.32671326,9.799126302,0.925759746,2.661940703
44,14.94635536,3.72808,1.41781,0.397115,-1.1524,-3.40892,94.0402,1030.02,0.094924649,0.062436455,0.077519643,0.764362736,1.346633554,9.618418459,0.916141198,2.600312268
45,15.00588272,4.97447,1.74292,0.386057,-1.57181,-4.33885,93.9509,1025.85,0.095967511,0.06327707,0.065548734,0.730405961,1.36375553,9.358756852,0.905454098,2.538666731
46,14.92777621,6.38108,1.97778,0.366469,-2.00253,-5.27683,93.8814,1021.73,0.101674732,0.063169726,0.05448677,0.69624414,1.372587614,9.02022028,0.893507042,2.466410016
47,14.69217193,7.91738,2.11512,0.340332,-2.43747,-6.21319,93.835,1017.71,0.110027741,0.059522625,0.047133082,0.664614117,1.370114749,8.62635115,0.881212728,2.391215851
48,16.69923332,-25.5179,0.152607,-3.10697,-0.867513,-20.1532,109.501,1060.9,0.158316097,0.201291849,0.072439442,0.155722517,4.068196079,17.24125736,0.307469198,1.218390762
49,15.42918883,7.49335,5.87122,-1.3777,-5.05752,8.7181,271.807,1046.13,0.133477451,0.045777297,0.133350356,0.594321176,1.484375996,10.21353351,0.305731959,1.586616306
50,15.47593564,7.73688,6.40787,-1.24103,-5.3769,8.05107,270.122,1042.21,0.127083713,0.044241342,0.132602847,0.569487575,1.546491733,9.996365619,0.310769176,1.592145262
51,15.60707847,8.07921,6.96041,-1.09127,-5.70573,7.35933,268.446,1038.16,0.11710263,0.047238461,0.130714267,0.547549779,1.598256288,9.827830859,0.312751409,1.590107339
52,15.70070595,8.53324,7.51583,-0.931596,-6.04135,6.64531,266.777,1034.02,0.109800405,0.058600411,0.125798154,0.532652629,1.605187828,9.650902443,0.304997501,1.583175666
53,15.59905656,9.10609,8.06057,-0.765433,-6.38057,5.91212,265.114,1029.81,0.106181036,0.068776156,0.107117746,0.531567756,1.495810279,9.393162424,0.294738157,1.575067134
54,15.32618583,9.79838,8.58164,-0.596415,-6.71967,5.16341,263.453,1025.58,0.109492876,0.068720605,0.070380067,0.529653966,1.346698841,9.050849871,0.298820509,1.571151013
55,24.31062362,8.07634,10.2944,1.05979,-6.46118,-0.16997,139.16,1003.9,0.11212292,0.054344988,0.105798084,0.163583776,1.378747123,16.46701688,0.058224864,0.747272969
56,24.17548779,7.62245,11.1437,1.17719,-6.67772,-0.732718,139.074,1000.1,0.110490752,0.048630506,0.107435148,0.161125835,1.44934249,15.8613939,0.073855667,0.969594032
57,23.97325369,7.27502,12.1141,1.30265,-6.90565,-1.31946,138.988,996.151,0.12006572,0.041628735,0.109219144,0.156484096,1.564532354,15.21041697,0.099814384,1.274268178
58,23.67124609,7.08769,13.1883,1.43247,-7.14707,-1.93298,138.906,992.086,0.127822669,0.037106828,0.110522733,0.149271966,1.696676828,14.46455546,0.133921611,1.349648292
59,23.3601843,7.10557,14.3403,1.56237,-7.40395,-2.57602,138.829,987.949,0.130319136,0.038372908,0.109972309,0.13989007,1.792273627,13.82193564,0.17113043,1.364384448
60,24.29971327,-26.9797,4.23872,-6.25465,-5.27449,-22.4858,145.9,1038.8,0.111997307,0.053937404,0.105886774,0.163401778,1.383925289,16.40234365,0.059303072,0.764400545
61,13.19458061,-0.184336,3.22199,4.61968,-10.203,8.92562,337.532,1054.59,0.084530922,0.096913559,0.050424167,0.196434505,1.493471496,10.11175603,0.143429969,1.626340795
62,13.48448056,0.368503,4.14568,4.78351,-10.5472,8.56574,336.837,1051.16,0.088666883,0.101776918,0.029553819,0.191617671,1.478489473,9.857272099,0.158794482,1.619225928
63,13.6119008,1.1279,5.10128,4.95783,-10.8761,8.19428,336.149,1047.71,0.098052587,0.075240626,0.028372945,0.186845566,1.571313539,9.430149175,0.208176034,1.611884563
64,13.6544647,2.08599,6.03978,5.13754,-11.1833,7.81362,335.472,1044.28,0.106232479,0.064676692,0.038639411,0.182612934,1.664426115,9.022284973,0.277364923,1.597793702
65,13.57481172,3.21832,6.90879,5.31718,-11.4623,7.42592,334.812,1040.89,0.11484322,0.061453449,0.056063112,0.178232814,1.739809886,8.571445749,0.363701628,1.574860827
66,13.31381021,4.48729,7.66607,5.49108,-11.7072,7.03287,334.175,1037.55,0.128441248,0.065287158,0.078594955,0.172977959,1.780860335,8.070592006,0.460531418,1.546911433
67,19.50701246,12.6984,0.650638,-1.9781,-9.22615,5.76553,81.3883,1032.51,0.160408875,0.057795446,0.116216047,0.204918109,3.107051111,13.15018975,0.122843368,1.002735842
68,19.47488374,12.3701,0.953628,-1.76554,-9.19861,5.54883,81.4072,1029.31,0.157606621,0.056819443,0.116110193,0.201712051,3.12362557,12.77360737,0.141429994,1.237765515
69,19.50382591,12.1058,1.31928,-1.55343,-9.14727,5.33879,81.4078,1025.9,0.149824772,0.063007926,0.115140646,0.194043174,3.1212507,12.43744278,0.164943294,1.52067366
70,19.48752036,11.9478,1.73736,-1.34557,-9.07099,5.13455,81.3909,1022.35,0.144900344,0.071071017,0.113956601,0.181240161,3.104489365,12.09784393,0.188748638,1.612027318
71,19.30199932,11.9318,2.19274,-1.1458,-8.96891,4.93452,81.3577,1018.67,0.145353905,0.074843722,0.11346364,0.164016444,3.081107055,11.64164296,0.221695855,1.632626809
72,19.50223912,-31.2034,-2.64986,-5.76585,1.49551,-15.8643,75.0501,1071.7,0.159686259,0.057438947,0.11622805,0.204682288,3.10954267,13.10278245,0.124619568,1.025381926
73,13.25526719,3.18392,14.6378,1.1715,-5.05335,8.25538,368.496,989.119,0.116904673,0.080045956,0.147559204,0.073110397,2.685372034,6.305921851,0.780220138,2.280199926
74,16.98790677,-16.9323,7.9285,-4.6082,-4.77239,-9.46753,337.064,1027.81,0.163001341,0.155950729,0.072530021,0.180133222,4.606430577,13.76256717,0.56000777,2.103121297
75,17.64982422,-19.0638,7.98746,-4.57506,-4.60663,-9.64496,336.406,1030.56,0.1555134,0.237979058,0.08121476,0.035773873,4.494031425,14.56173099,0.560806298,2.102564977
76,17.19870951,-20.7902,8.11528,-4.5294,-4.45603,-9.81613,335.75,1033.1,0.153836773,0.20290995,0.094813139,0.096152482,4.396423095,14.05658765,0.560806298,2.102564977
77,16.69675651,-22.1031,8.30893,-4.47343,-4.32362,-9.98214,335.091,1035.42,0.15232784,0.125956232,0.102168595,0.202971809,4.302826954,13.48427245,0.675183796,2.102564977
78,16.4447166,-23.014,8.5636,-4.40926,-4.21201,-10.1437,334.426,1037.51,0.142168493,0.153947897,0.099280168,0.355663612,4.193979348,13.07674436,0.675183796,2.102564977
79,18.4984819,18.6088,24.3383,-4.4123,0.612821,7.0119,194.722,939.363,0.211333611,0.0394973,0.167979219,0.211239891,3.16896058,5.197017434,1.210822378,1.885920817
80,18.62497167,19.9187,24.9268,-4.43858,0.686208,6.61722,194.922,936.366,0.233491173,0.045388929,0.167505244,0.194980077,3.17791363,4.891158201,1.269385999,1.863318302
81,18.56126072,21.3487,25.4573,-4.46824,0.769014,6.1953,195.131,933.478,0.260211436,0.050578348,0.165951791,0.183727565,3.097737913,4.615215194,1.249924388,1.849759209
82,20.70008299,-22.1718,8.77563,-9.91587,10.8036,-7.58632,201.624,969.958,0.187336525,0.359444598,0.114205466,0.339686118,2.309159223,21.29509545,0.317784192,1.519612689
83,20.93861797,-24.9636,9.08088,-9.61208,11.089,-7.65394,201.836,971.499,0.156543917,0.392074624,0.105998195,0.192687109,2.333201819,21.44819744,0.317784192,1.519612689
84,21.3961528,-27.2936,9.49713,-9.29901,11.346,-7.70817,202.061,972.806,0.133017484,0.371406401,0.090908592,0.157745033,2.327220172,21.56493891,0.317784192,1.519612689
85,17.50188689,5.28402,5.92196,2.30837,-6.8025,-2.50851,174.821,1057.12,0.120344777,0.040508905,0.091058048,0.225204184,3.238364973,11.29623218,0.185622773,1.510108437
86,17.63883353,6.02233,6.58604,2.5654,-7.20717,-3.04102,174.462,1052.58,0.112609813,0.051485708,0.061512351,0.22079285,2.996683329,10.95131973,0.199923975,1.504952243
87,17.42023405,6.90927,7.24397,2.85111,-7.62125,-3.58158,174.109,1048,0.120547379,0.050559413,0.040179899,0.212043173,2.920548818,10.40036299,0.23143027,1.501339776
88,20.73411054,-24.9007,-2.24127,-1.9741,-6.80037,-20.6852,158.415,1081.72,0.169041868,0.286140873,0.040163937,0.155530845,11.06336234,24.55295495,0.458081043,0.971991396
89,20.93609974,-28.3118,-2.10205,-1.91398,-6.61635,-20.777,157.857,1085.05,0.169908261,0.286140873,0.031011579,0.157705847,11.59432174,23.93830335,0.458081043,0.971991396
90,21.29267773,-31.257,-1.92631,-1.81381,-6.47076,-20.8576,157.29,1088.13,0.152857638,0.206714673,0.030939041,0.157705847,11.41186123,23.60263941,0.458081043,0.971991396
91,40.22123714,-4.74626,13.39,3.5633,-7.87964,3.36248,186.799,994.241,0.242743161,0.045968184,0.157125675,0.183176406,2.139493324,27.99215872,1.05054457,3.24345137
92,39.67337872,-3.91402,14.4942,3.63521,-7.80519,2.92742,186.265,991.038,0.220843515,0.026604711,0.160775931,0.184846358,2.328617938,26.77326954,1.055738524,3.199679241
93,38.95665539,-2.80171,15.6359,3.71071,-7.72931,2.46491,185.721,987.628,0.206640731,0.019271849,0.163290814,0.184124462,2.536390804,25.42766486,1.052634821,3.132814415
94,38.02133311,-1.41325,16.7793,3.78973,-7.65196,1.97653,185.17,984.043,0.198488793,0.0232866,0.163024472,0.184021588,2.698513763,24.00149384,1.042126721,3.037515101
95,36.80180746,0.230047,17.8886,3.8722,-7.57344,1.46399,184.615,980.319,0.198500394,0.033976548,0.159469003,0.184658279,2.727551386,22.49707386,1.028527236,2.930618366
96,35.43938536,2.09163,18.9312,3.95797,-7.49424,0.929085,184.062,976.497,0.203868166,0.046766193,0.155095272,0.184910781,2.653192059,21.05393685,1.014157215,2.831429696
97,15.24038362,5.67506,11.339,-0.374396,-7.79683,3.68632,-7.45695,1054.82,0.135740104,0.06230217,0.103737054,0.164968448,2.97323132,8.311333032,0.649229224,1.520500246
98,15.2957992,6.52155,12.1779,-0.386825,-7.89971,3.2505,-7.04415,1051.52,0.133227917,0.059944905,0.10134573,0.164485125,2.960289869,8.095635954,0.652108039,1.517563762
99,15.28003348,7.55384,13.1359,-0.375766,-8.00244,2.79565,-6.63872,1048.11,0.134277447,0.051702249,0.101287486,0.166005332,2.935940634,7.721203575,0.653465857,1.50715924
100,15.16374919,8.75484,14.1818,-0.340922,-8.10255,2.32438,-6.24396,1044.62,0.138757862,0.04893214,0.098877838,0.166529076,2.859521803,7.341003086,0.654363117,1.491534479
101,14.97668952,10.0979,15.2787,-0.282438,-8.19704,1.84003,-5.86288,1041.08,0.145068199,0.048225274,0.093827055,0.165963969,2.751724169,6.937814848,0.654266971,1.472375683
102,14.81817204,11.5499,16.3861,-0.201086,-8.28257,1.34646,-5.49839,1037.53,0.15285745,0.048545364,0.095224723,0.162873162,2.713790075,6.531388698,0.556382978,1.45101475
103,28.45192933,11.4786,9.80665,3.70926,0.226444,8.84769,36.5804,955.352,0.140681102,0.089295673,0.166839261,0.179168706,4.311782976,18.19499693,0.223458135,1.757432319
104,28.31266227,11.2977,10.3238,3.74887,0.0677424,8.42111,36.5515,953.387,0.136583721,0.084823186,0.163005441,0.234074634,4.337551104,17.53011349,0.230843227,1.826723185
105,28.09457673,11.2088,10.9066,3.80843,-0.0990028,8.00175,36.5205,951.249,0.137532337,0.082934183,0.159208135,0.26215992,4.353045782,16.83922985,0.256732361,1.874687756
106,27.78990304,11.2575,11.5348,3.88423,-0.271864,7.59173,36.486,948.966,0.138313598,0.082694215,0.154570163,0.261188728,4.33743823,16.07606347,0.303805618,1.89574182
107,27.38664547,11.4815,12.1855,3.97204,-0.448759,7.19191,36.4466,946.566,0.139279688,0.079736209,0.150409089,0.259409489,4.303284405,15.27451307,0.369629337,1.899651177
108,26.92639534,11.9047,12.8335,4.06711,-0.627737,6.80161,36.4014,944.079,0.142979446,0.075895731,0.145744913,0.2574965,4.232059766,14.36092913,0.459274396,1.893140681
109,15.2637912,11.7732,11.5081,-0.900551,-3.89258,8.70047,300.403,1049.75,0.243873525,0.057876967,0.129119865,0.18944846,2.280036662,12.37857484,0.136461359,0.489358669
110,15.11770363,11.3837,11.6201,-0.879981,-3.97058,8.3766,299.77,1047.36,0.237484524,0.05451789,0.124453759,0.189530891,2.538619286,11.91101971,0.096515314,0.476627939
111,14.80540542,10.9468,11.9055,-0.82451,-4.06038,8.02142,299.127,1044.79,0.222518304,0.04996481,0.122006863,0.188756766,2.488590197,11.3347225,0.079915259,0.510584403
112,14.54724255,10.5036,12.356,-0.735135,-4.16225,7.63564,298.472,1042.04,0.205982642,0.046197634,0.12253033,0.187214485,2.425333703,10.78647993,0.07984704,0.601572882
113,14.34769805,10.1003,12.9591,-0.613627,-4.27559,7.2208,297.807,1039.15,0.189426908,0.04526456,0.125986822,0.184723736,2.378814004,10.26760191,0.091437805,0.769594296
114,14.17791363,9.7829,13.6967,-0.462691,-4.39926,6.77899,297.13,1036.14,0.182044468,0.049235221,0.130882064,0.181769846,2.350443163,9.772245752,0.113530447,1.018364566
115,14.997453,17.0951,24.0273,8.73142,-5.83722,4.25662,104.231,960.04,0.229253212,0.064304732,0.125273326,0.186007203,2.680479253,3.662670337,0.808253595,1.653543511
116,15.09450863,18.1845,24.638,8.87171,-6.10883,3.55222,104.361,956.581,0.253272287,0.065448864,0.125327788,0.181346501,2.651571493,3.473105102,1.004287472,1.637598255
117,15.15344554,19.3731,25.0879,8.97269,-6.36776,2.82871,104.463,953.39,0.278100778,0.079019066,0.124847468,0.168110454,2.604323313,3.300832999,1.200131794,1.620797407
118,15.17049919,20.6357,25.3675,9.02823,-6.61143,2.08752,104.534,950.505,0.301492987,0.105062712,0.123406686,0.142174289,2.525007303,3.171942738,1.244450324,1.602287632
119,15.09924943,21.9441,25.4786,9.03331,-6.83737,1.3303,104.572,947.962,0.321011817,0.133410116,0.119115325,0.141642283,2.360069825,3.071261073,1.213733458,1.577991298
120,14.92281084,23.2699,25.4338,8.98414,-7.0433,0.558828,104.576,945.793,0.33998739,0.146920046,0.112199575,0.169525974,2.17677434,2.955281503,1.181538641,1.557540922
121,26.09338087,9.91756,2.59712,-1.12884,-7.29698,5.103,90.5131,1065.23,0.170266147,0.118474023,0.074190512,0.080175074,3.927907212,14.60684867,0.773648555,1.781793248
122,25.36474278,10.6649,3.2501,-1.19719,-7.21318,4.69918,90.4699,1060.56,0.170591679,0.113186792,0.090702311,0.085349706,3.860210119,13.91897288,0.92765897,1.756371313
123,24.40042881,11.5788,3.86915,-1.26145,-7.11046,4.26809,90.4246,1055.96,0.174546678,0.111327066,0.099077853,0.102911355,3.718512593,13.12733011,1.087662987,1.725506314
124,23.26489437,12.6447,4.4195,-1.32113,-6.99026,3.81084,90.3747,1051.51,0.181938037,0.12542403,0.097910249,0.120455169,3.544471786,12.26908501,1.167408433,1.696326802
125,22.1815629,13.8368,4.8751,-1.37571,-6.85387,3.32978,90.3182,1047.27,0.193633019,0.148444761,0.095113488,0.120151918,3.40632328,11.49798183,1.154028052,1.67299085
126,20.86809125,15.1212,5.22162,-1.42478,-6.70231,2.82846,90.2528,1043.32,0.217927774,0.14540893,0.096782495,0.105518643,3.28694521,10.61888649,1.128823191,1.644571909
127,15.35281596,12.0278,14.1523,5.58278,-3.79235,15.1452,368.867,1059.59,0.125195185,0.063846781,0.111437664,0.312738467,1.578497054,10.89197782,0.074922802,0.675462438
128,15.56302858,11.7245,15.2952,5.77335,-3.86058,14.7247,368.311,1056.63,0.120272889,0.068173154,0.108717289,0.304197939,1.610445303,10.63480132,0.085932994,0.78260775
129,15.67660979,11.4846,16.5866,5.968,-3.91329,14.2906,367.756,1053.55,0.118021651,0.070214688,0.106096065,0.295480859,1.643790133,10.2486701,0.1086694,0.989036057
130,15.6563485,11.3454,17.9953,6.16272,-3.95107,13.8388,367.196,1050.38,0.11987592,0.068713447,0.104539848,0.289791928,1.657386916,9.888772333,0.133719691,1.209144855
131,15.514893,11.3397,19.4811,6.35323,-3.97518,13.3646,366.631,1047.13,0.126750764,0.061223529,0.104000069,0.283768024,1.666147413,9.336840239,0.173897865,1.399730081
132,15.34999337,-22.4808,5.30823,-6.16196,-3.40445,-24.9904,343.007,1102.47,0.174399491,0.297634393,0.083867782,0.13389931,10.00931527,12.99153338,0.358827351,1.203845869
133,9.727087478,7.87589,14.7523,2.19245,0.968098,6.07533,205.189,1145.06,0.092878075,0.038622147,0.085292963,0.220752253,1.525159079,6.936574787,0.098061574,0.581207483
134,9.771600364,7.68051,15.9243,2.13076,0.719457,5.41657,205.426,1141.07,0.094125104,0.034625934,0.086901296,0.214550931,1.58116962,6.74736182,0.126923174,0.798809433
135,9.839820859,7.69339,17.1768,2.10136,0.454976,4.72343,205.633,1137.01,0.092973553,0.03476389,0.087313757,0.206974847,1.647660636,6.551544944,0.166430659,1.114773386
136,9.875769291,7.93071,18.4796,2.10249,0.181323,4.00317,205.805,1132.92,0.093351925,0.037877095,0.086689123,0.200012623,1.692555174,6.371415379,0.203912157,1.181190412
137,9.843099504,8.39179,19.797,2.13152,-0.0941776,3.26392,205.937,1128.84,0.09465072,0.042779881,0.085572532,0.195533693,1.696093688,6.166245279,0.243488391,1.187051568
138,9.717522998,9.05996,21.0905,2.18481,-0.363671,2.5146,206.028,1124.81,0.09751474,0.048178805,0.083781669,0.192610896,1.660576011,5.909592473,0.296192227,1.190567253
139,13.36900712,5.10078,13.6324,2.7382,3.63971,4.95114,187.794,1115.12,0.140985324,0.681074467,0.075943828,0.1371172,2.277139821,8.595620306,0.538145177,1.993401191
140,13.39199419,5.74966,14.6084,2.526,3.74089,4.73146,187.381,1111.49,0.137788549,0.424116349,0.087690016,0.173151008,2.418148697,8.322206038,0.574369664,1.980274355
141,13.47077783,6.54256,15.7128,2.34104,3.79989,4.45221,186.97,1107.68,0.131435079,0.308637624,0.088962748,0.228047053,2.551117643,8.04324291,0.576942209,1.93512279
142,13.52774508,7.49087,16.9077,2.18827,3.81424,4.11192,186.557,1103.72,0.123397563,0.272227828,0.088654918,0.244488815,2.601801248,7.787897389,0.573512942,1.875271462
143,13.52331919,8.59741,18.1506,2.07169,3.78278,3.7105,186.136,1099.67,0.116686197,0.281365711,0.087114257,0.238590954,2.55801641,7.476802355,0.567340146,1.807875489
144,13.37344169,9.85465,19.3974,1.99432,3.70562,3.24919,185.703,1095.54,0.115012601,0.298685627,0.08058425,0.227908488,2.349504935,6.798815967,0.555149177,1.700652695
145,13.04259889,10.8127,5.66763,-1.63655,-6.37842,7.52445,185.363,998.172,0.121920739,0.038783109,0.107918338,0.214031791,1.864602779,6.69468037,0.471008986,1.472194315
146,13.13259171,11.2402,6.06866,-1.42516,-6.4486,6.98934,185.173,994.669,0.123091739,0.048451145,0.115699446,0.209843592,1.872722768,6.393040609,0.564189612,1.469412877
147,13.16511423,11.9133,6.41114,-1.22434,-6.5207,6.42272,184.997,991.217,0.126817172,0.059880265,0.111830167,0.205692483,1.838609683,6.069327736,0.65686938,1.464415642
148,13.21427923,12.8009,6.6896,-1.04282,-6.59246,5.82737,184.842,987.857,0.130978096,0.076952203,0.108596463,0.197174134,1.81789135,5.739673939,0.672181375,1.461924989
149,13.23119646,13.8662,6.9064,-0.889188,-6.66129,5.20682,184.71,984.625,0.137034049,0.093901082,0.109345584,0.181848653,1.82527179,5.430537338,0.808466167,1.460405446
150,13.13935547,15.0708,7.06899,-0.771502,-6.72437,4.56529,184.603,981.558,0.15225347,0.097529331,0.111876873,0.159456488,1.839096138,5.071167301,1.012025185,1.460630295
151,16.66331107,4.86298,2.52499,2.47088,-3.48132,4.69014,297.108,1026.05,0.107155,0.033755943,0.096721561,0.330939899,2.153130218,12.22518343,0.075593285,0.789266873
152,16.77311872,4.61925,2.46199,2.49306,-3.76644,3.92542,296.591,1022.54,0.106650283,0.032925593,0.096865296,0.320417143,2.208094895,11.84128417,0.103547659,1.090248498
153,16.82920541,4.5512,2.40139,2.52909,-4.07052,3.14322,296.076,1018.97,0.11079983,0.033070202,0.097254729,0.309111602,2.277701415,11.42659453,0.136656664,1.370735342
154,16.8331798,4.68778,2.33641,2.57711,-4.38994,2.35055,295.567,1015.38,0.113989998,0.034954055,0.097564137,0.297441935,2.355302935,11.0057354,0.172984504,1.40224959
155,16.80140359,5.04258,2.25928,2.63466,-4.72067,1.55467,295.064,1011.8,0.116716543,0.047987462,0.096872341,0.287488641,2.415699765,10.57272844,0.224041872,1.413131857
156,16.76595735,5.61289,2.16306,2.69868,-5.05852,0.762767,294.569,1008.27,0.113576737,0.06163318,0.092315945,0.284402794,2.345482226,10.21377329,0.280261377,1.414100141
157,21.89927313,9.08683,10.7923,0.957508,-4.41035,5.76537,279.185,1042.09,0.140397669,0.097801498,0.090324018,0.487475467,2.942203116,16.7447906,0.118541713,0.865213782
158,21.99694209,8.75962,11.6166,0.962613,-4.79479,5.24881,278.925,1039.16,0.141805629,0.115588516,0.061010258,0.478091948,2.802953339,16.24112281,0.116891357,0.877569955
159,21.91712701,8.49724,12.5681,0.996226,-5.17552,4.73771,278.658,1036.08,0.147372728,0.079829541,0.039436636,0.459743132,2.794228361,15.48872917,0.147567018,1.033305
160,21.84154658,8.36508,13.6348,1.05598,-5.54575,4.23848,278.381,1032.87,0.152313098,0.05261144,0.039814727,0.44134018,2.90475615,14.83335328,0.194299464,1.314566224
161,21.81768734,8.42692,14.7985,1.13843,-5.89874,3.75692,278.09,1029.55,0.151966772,0.043299154,0.053689692,0.419016039,3.048243332,14.1390163,0.262742469,1.526161589
162,21.77597576,8.73568,16.034,1.23914,-6.22794,3.29823,277.785,1026.17,0.147548593,0.043090004,0.074404999,0.400231416,3.167729817,13.49337729,0.339099318,1.545714493
163,18.01459258,14.0038,11.9936,-1.27018,0.64505,15.0531,192.737,1003.95,0.153055406,0.077608822,0.130960231,0.186597234,2.341434595,11.64053676,0.106707646,0.522089753
164,18.3289057,13.0748,12.5191,-1.24302,0.543083,14.6985,191.862,1001.31,0.146336015,0.082128108,0.129544861,0.179888027,2.48271705,10.86944023,0.180661169,1.049920212
165,18.4278264,12.3643,13.1267,-1.20819,0.42484,14.304,191.005,998.576,0.143972883,0.080964156,0.129260654,0.175358366,2.545131183,10.40918415,0.232564502,1.472628271
166,18.41999595,11.9593,13.7747,-1.16938,0.291228,13.8695,190.171,995.794,0.148302265,0.076967116,0.129327083,0.167818772,2.620673784,9.809160321,0.305711815,1.603737315
167,18.30960413,11.9102,14.4205,-1.13018,0.144151,13.3961,189.365,993.014,0.157359611,0.072599474,0.129578526,0.157537664,2.691900643,9.219921084,0.404506021,1.619927727
168,18.11512557,12.2278,15.0256,-1.094,-0.0134549,12.8856,188.591,990.284,0.171218608,0.069799871,0.129812449,0.143750892,2.746321474,8.647476822,0.444233355,1.623599944
169,18.85212497,14.623,4.48131,-2.37006,-4.60109,11.1563,110.204,1048.14,0.145378835,0.027172148,0.101627449,0.216533736,3.625630845,10.53372598,0.482446659,1.652660521
170,18.87610999,15.0782,6.48794,-2.02883,-5.20469,9.16954,111.65,1038.2,0.119930912,0.040871049,0.104596621,0.19586567,3.70729259,9.499545444,0.65405401,1.644669499
171,19.40615247,15.5509,7.12157,-1.90442,-5.45732,8.434,112.106,1034.77,0.105807502,0.062662088,0.107979047,0.155332873,4.080186308,9.232817393,0.723457549,1.631517925
172,19.67128699,16.1816,7.68627,-1.78347,-5.72975,7.67144,112.555,1031.35,0.102776537,0.088834546,0.109639097,0.058511799,4.359234158,8.816830132,0.771934317,1.610892468
173,19.49903392,16.954,8.16092,-1.67211,-6.01723,6.88873,112.998,1027.98,0.111174756,0.192401266,0.109399768,0.021062264,4.431873125,8.270952529,0.697224929,1.599750798
174,18.72439777,17.8461,8.53284,-1.57686,-6.31427,6.09324,113.439,1024.72,0.132680631,0.21568787,0.106130804,0.054201666,4.143807136,7.615881387,0.823091423,1.598020622
175,8.302112596,2.83106,19.4266,-0.927541,-3.97863,6.57361,342.95,1043.09,0.164615736,0.069358002,0.146749766,0.097910033,1.63674152,2.58698201,0.88459362,2.213538402
176,8.617354765,4.79474,19.5544,-0.917823,-3.92299,5.9733,342.179,1040.21,0.16213711,0.071609074,0.143963951,0.073122029,1.60630698,2.759106835,0.871736383,2.13595146
