Number,Target variable,Ankle flexion/extension angle,Knee ad/abduction angle,Pelvic obliquity angle,Pelvic rotation angle,Lumbar rotation angle,M/L COM position,Vertical COM position,Biceps femoris short head,Adductor brevis,Tensor fasciae latae,Piriformis,Rectus femoris,Vastus lateralis,Medial gastrocnemius,Soleus
609,21.00403828,5.43475,5.40221,2.43374,-10.8352,-4.04233,193.028,1052.28,0.130665712,0.077853493,0.090847049,0.206581786,3.59238302,13.27558125,0.180247034,1.611300633
610,20.62556195,6.27206,6.07157,2.86128,-11.2115,-4.68541,193.236,1047.82,0.149820767,0.077877402,0.102434191,0.196783955,3.728866881,12.3712486,0.249765413,1.603285297
611,23.80112475,-31.0936,-1.78966,-1.93794,-11.1916,-23.1944,196.541,1096.96,0.114767565,0.478478067,0.04458241,0.155096213,11.39959611,25.55665249,0.564285494,1.235315665
612,23.90255379,-33.6987,-1.69262,-1.94186,-11.1391,-23.3545,196.477,1100.41,0.10782759,0.357771436,0.052118227,0.005281978,11.01538545,24.82065158,0.564285494,1.235315665
613,18.91870226,-5.46556,14.7442,3.70233,-8.77289,0.594832,196.34,1008.19,0.168874835,0.03807798,0.168876828,0.179950129,1.921114959,12.1539453,1.233747026,3.25063125
614,18.90861261,20.6636,23.7956,2.40156,-8.28833,-12.3951,193.551,961.413,0.168740575,0.037884312,0.16894126,0.179792253,1.923078755,12.13396798,1.233514958,3.24927268
615,18.89837775,20.0622,23.4714,2.05363,-8.05255,-12.9584,193.754,963.885,0.168613521,0.037694859,0.169003727,0.179638142,1.925038399,12.1139963,1.233277552,3.247887943
616,18.88831098,19.1457,23.0357,1.68258,-7.76711,-13.4865,193.993,966.885,0.168493713,0.037509214,0.169064381,0.179487571,1.926994994,12.0940306,1.233035353,3.24647868
617,18.87819703,17.8887,22.4703,1.29327,-7.42905,-13.9743,194.265,970.38,0.168381208,0.037327291,0.169123321,0.179340253,1.928948973,12.07407095,1.232788846,3.245046304
618,18.86802305,16.2671,21.7587,0.891319,-7.03699,-14.4175,194.566,974.328,0.168276047,0.037148872,0.169180707,0.179195808,1.930901468,12.05411754,1.232538622,3.240820405
619,24.86848764,2.37974,6.08717,2.79784,-9.63994,1.16359,22.9788,1062.48,0.217360832,0.038665125,0.113283509,0.16702769,3.922870469,18.38627292,0.600057588,2.472294159
620,25.14816518,2.66404,6.84809,2.9746,-9.72252,0.777643,23.2054,1059.19,0.203773238,0.04020515,0.112190161,0.165293716,3.965858438,17.88264546,0.680176995,2.43893826
621,25.33310629,3.15791,7.77453,3.16487,-9.7853,0.386954,23.4161,1055.8,0.1902336,0.045358988,0.110559659,0.163118433,3.982605296,17.3282404,0.791913878,2.404257312
622,25.35096274,3.87608,8.83417,3.36656,-9.82632,-0.00634659,23.6067,1052.37,0.175293361,0.054106253,0.107980473,0.160399808,3.960886618,16.66802189,0.944447524,2.361311978
623,25.08309105,4.81801,9.98702,3.57769,-9.84351,-0.39979,23.7741,1048.94,0.167468418,0.066686273,0.103672772,0.157112646,3.884629627,15.77629168,1.160942301,2.302460843
624,24.58170174,5.96785,11.1872,3.79607,-9.83474,-0.790647,23.9157,1045.55,0.168099215,0.072720297,0.100470016,0.154442123,3.812331888,14.83915766,1.390402602,2.243074944
625,35.71890544,9.96881,7.9325,0.84378,-3.6845,12.0578,14.5615,975.688,0.144750193,0.089962349,0.162534426,0.337645052,1.93247789,22.32711007,0.340189751,1.763677858
626,35.16763677,10.1361,8.56282,0.967397,-3.68744,11.6639,15.006,973.228,0.144218244,0.093059848,0.158858349,0.328093611,2.025654359,21.34811815,0.382861299,1.77628314
627,34.36088558,10.4787,9.26085,1.10512,-3.69453,11.2603,15.4203,970.63,0.146611955,0.091161203,0.156625136,0.319883741,2.065526738,20.28212507,0.449984972,1.783404267
628,33.41682744,11.0206,9.99369,1.25216,-3.70495,10.8484,15.8064,967.926,0.14897405,0.091150496,0.154468348,0.311536415,2.093535693,19.1510492,0.548257408,1.785211683
629,32.50655054,11.7718,10.7248,1.40316,-3.71812,10.4287,16.1667,965.149,0.149875242,0.108073257,0.149802404,0.297670261,2.094734981,18.05211332,0.668727535,1.777436772
630,31.56283717,12.7278,11.4167,1.55221,-3.73384,10.0004,16.5044,962.336,0.152596392,0.136193897,0.143474977,0.27597876,2.07540337,16.89039788,0.799168612,1.766571399
631,23.11997164,11.1887,9.9417,-0.880114,-3.22367,8.29229,352.597,1051.26,0.171449491,0.049761088,0.110956607,0.192990325,2.532926109,18.31696337,0.061791936,0.567470447
632,23.25544621,10.6834,10.6016,-0.644103,-3.39062,7.7856,351.945,1047.74,0.164763409,0.045921741,0.113544182,0.190495799,2.558594843,17.7913839,0.05764334,0.594668635
633,23.36249443,10.2022,11.413,-0.375676,-3.58109,7.24925,351.279,1044.11,0.162026579,0.044057252,0.118570047,0.187538589,2.59924484,17.19554906,0.061422267,0.66058936
634,23.43245168,9.79055,12.359,-0.080096,-3.79222,6.68753,350.6,1040.42,0.157072459,0.044848563,0.123746918,0.184741308,2.644251276,16.61533235,0.073100377,0.787484634
635,23.40027018,9.49021,13.4145,0.236606,-4.02018,6.10562,349.911,1036.69,0.150170934,0.046304623,0.127476058,0.179965609,2.69685988,15.93729575,0.092831133,1.004846761
636,23.19238471,9.33502,14.5475,0.56758,-4.26044,5.50913,349.213,1032.96,0.149078721,0.045626967,0.12921194,0.176909002,2.749491772,15.20032744,0.12001206,1.301265319
637,23.21440732,14.7047,11.1198,3.95941,-9.8107,5.45805,88.9655,1019.59,0.147695836,0.061567881,0.132561224,0.202086617,9.869076515,11.99160022,0.089421036,0.9844707
638,23.21726977,14.3505,12.2382,4.12911,-9.83259,5.22933,89.5346,1015.17,0.149328367,0.057506374,0.131958059,0.201842745,9.668995743,11.5897622,0.108635609,1.156070916
639,23.21509181,14.0925,13.3979,4.30703,-9.85519,4.97593,90.1003,1010.61,0.149085793,0.056058524,0.130924774,0.200661093,9.45771173,11.13842942,0.1338131,1.407450132
640,23.24584118,13.9679,14.5682,4.48965,-9.87722,4.69692,90.6614,1005.97,0.148067725,0.061630854,0.129042328,0.198144739,9.261278252,10.67325506,0.162397845,1.581282267
641,23.29125478,14.0056,15.7168,4.67299,-9.89724,4.39141,91.2164,1001.26,0.147689507,0.073212887,0.126809286,0.194133324,9.031141174,10.14680437,0.203966689,1.6409441
642,23.21669186,14.2244,16.812,4.8528,-9.91372,4.05866,91.7639,996.544,0.152275291,0.082452822,0.125051653,0.190171477,8.777849556,9.609564204,0.257083346,1.662820255
643,13.88515556,7.30994,5.55757,-0.107878,-8.88835,7.01877,68.4866,1040,0.118752586,0.081146846,0.115737036,0.086733546,3.477173519,6.077821556,0.845212525,1.572301266
644,13.92977824,8.25355,6.24023,-0.198299,-8.83499,6.60609,68.8115,1035.72,0.122406186,0.10944309,0.113082667,0.070491674,3.408941296,5.919530784,0.840447682,1.578074402
645,13.813699,9.38549,6.82538,-0.302739,-8.79421,6.13955,69.1197,1031.45,0.123286568,0.228159193,0.100299655,0.067726756,3.124001399,5.763022272,0.832114612,1.568817997
646,13.60039033,10.681,7.29317,-0.416805,-8.76751,5.6225,69.4093,1027.25,0.121613181,0.203106471,0.061382487,0.064666792,2.722149398,5.569973001,0.831222306,1.558287419
647,13.42992518,12.1041,7.64096,-0.535283,-8.75477,5.06071,69.6798,1023.2,0.130144801,0.138359951,0.032602231,0.053312441,2.594399383,5.272234998,0.75009772,1.548442984
648,13.36875787,13.6139,7.88352,-0.652712,-8.75405,4.46222,69.9322,1019.35,0.146108022,0.145963821,0.037488575,0.045280211,2.754821464,4.961282229,0.838274958,1.533987769
649,15.52269752,15.0519,21.2443,8.54931,-3.73593,8.99405,340.854,1047.15,0.140091287,0.059426102,0.10487911,0.165899408,1.664520256,8.410590591,0.161430847,0.868628339
650,15.51858259,14.9175,22.2709,8.57872,-3.68651,8.57821,340.458,1044.15,0.137281417,0.058407533,0.104788704,0.167872372,1.689737651,8.138346109,0.177811289,1.015890695
651,15.51664974,14.8562,23.2985,8.58933,-3.64213,8.11108,340.075,1041.04,0.136337481,0.059702205,0.104367236,0.170753433,1.711609966,7.810980857,0.206160422,1.243302988
652,15.50994124,14.9108,24.3142,8.57933,-3.60998,7.58609,339.704,1037.84,0.13517957,0.067989422,0.102979191,0.173036096,1.705238418,7.49818393,0.236784068,1.352999803
653,15.46905155,15.1215,25.3021,8.54737,-3.59659,6.99817,339.345,1034.61,0.136013773,0.070943481,0.10233876,0.171928246,1.703093416,7.148185359,0.221580385,1.398205551
654,15.37273203,15.5202,26.243,8.49247,-3.60744,6.34408,338.995,1031.39,0.145704951,0.052093652,0.106103461,0.157666726,1.803071586,6.744402144,0.306969153,1.430376884
655,12.55559302,12.8008,13.4329,2.19736,-1.36106,7.55534,208.763,1146.79,0.114445982,0.043318701,0.096700968,0.175022369,1.427608794,9.851285288,0.053138767,0.312728863
656,12.48808704,12.3878,14.2578,2.03821,-1.57842,7.01804,209.071,1143.4,0.109834146,0.04503039,0.09426438,0.174976849,1.421833749,9.557034518,0.057577974,0.347999571
657,12.39996817,12.0135,15.1911,1.90554,-1.8344,6.4269,209.39,1139.79,0.10818654,0.046321116,0.089340688,0.173883379,1.393444534,9.244779404,0.063438329,0.385272873
658,12.29108333,11.716,16.2172,1.80052,-2.12512,5.78555,209.713,1136.01,0.106491094,0.039155749,0.087760123,0.171793476,1.401852259,8.874196194,0.078276789,0.471253718
659,12.19827562,11.5307,17.3174,1.72375,-2.44563,5.09872,210.035,1132.07,0.106042851,0.032066939,0.092026857,0.169021815,1.45154604,8.538103007,0.101411178,0.613721842
660,12.11130519,11.4863,18.47,1.67522,-2.78985,4.37237,210.35,1128.01,0.1050143,0.029172113,0.09361857,0.166141234,1.503608524,8.216627594,0.131010566,0.827339788
661,18.02422159,6.5712,11.0705,0.988767,-1.03649,4.58337,270.143,1127.16,0.192259742,0.334685764,0.104245855,0.076395045,1.038599527,13.23401441,0.536801764,1.786762834
662,17.96071093,6.82635,11.7698,0.726866,-0.946411,4.34761,269.766,1124.02,0.186216183,0.234074647,0.106617331,0.09452228,1.170142823,12.79111483,0.609586525,1.769605323
663,17.88147954,7.22076,12.687,0.490581,-0.885227,4.07277,269.415,1120.68,0.175286422,0.174641194,0.1071528,0.115608362,1.284502415,12.33207807,0.706325099,1.744560289
664,17.77602579,7.77867,13.8053,0.285411,-0.854958,3.75828,269.087,1117.14,0.162948015,0.155736199,0.10541941,0.144654474,1.365566338,11.85265529,0.808240798,1.708240029
665,17.61041387,8.5161,15.096,0.11631,-0.85678,3.40421,268.78,1113.45,0.150909457,0.156787511,0.102938113,0.178844405,1.392259251,11.37211562,0.874843073,1.669573371
666,17.30933074,9.43879,16.5192,-0.0127616,-0.891054,3.01129,268.49,1109.63,0.142246089,0.16201071,0.099324183,0.192893274,1.365380535,10.79785721,0.901239103,1.630936321
667,13.43184582,10.9399,2.1656,-2.38645,-2.29775,6.76871,208.317,1011.43,0.101128124,0.048808001,0.072665944,0.29321863,1.302909505,8.575028395,0.156086025,0.76543982
668,13.59237317,10.6495,2.61085,-2.19584,-2.53169,6.28131,208.494,1007.71,0.097554437,0.052247155,0.068498185,0.284765974,1.327069202,8.381109552,0.200937141,1.08384436
669,13.62802952,10.6695,2.96121,-2.00044,-2.76646,5.78391,208.675,1004.03,0.098914195,0.052296014,0.065641272,0.275884344,1.350522854,8.03691486,0.262786128,1.544573736
670,13.60015372,10.9873,3.19836,-1.80633,-2.99773,5.27912,208.866,1000.42,0.104426423,0.050551804,0.066210096,0.268453686,1.369227201,7.625968561,0.329027433,1.631796997
671,13.46845661,11.5664,3.33635,-1.61998,-3.22071,4.7699,209.072,996.895,0.115997265,0.048783268,0.070112672,0.260411618,1.382719683,7.133151267,0.422523395,1.629542828
672,13.30496136,12.3558,3.42547,-1.44801,-3.43035,4.25937,209.3,993.472,0.138167803,0.053091633,0.076603493,0.254301236,1.38750746,6.68962306,0.53817033,1.62941865
673,17.63926652,4.77908,2.10359,2.77021,-4.57371,2.67375,282.002,1022.76,0.112135479,0.03243607,0.100907374,0.372708132,3.588734724,12.36577152,0.073587161,0.787026739
674,17.90072036,4.46555,1.99787,2.85289,-4.86458,1.89786,281.37,1019.2,0.111036408,0.042166322,0.099378984,0.364714335,3.629268421,12.08456848,0.095786816,1.068748409
675,18.25055875,4.37221,1.88442,2.95703,-5.17727,1.10322,280.741,1015.61,0.100499127,0.053049722,0.092472447,0.361367154,3.502020824,11.9235916,0.118806476,1.368987563
676,18.48382609,4.52115,1.76088,3.08047,-5.50693,0.297713,280.114,1011.99,0.090481573,0.058311494,0.071142428,0.357263636,3.260460325,11.70342145,0.142556023,1.407685061
677,18.31482018,4.91529,1.62564,3.22004,-5.8482,-0.510351,279.492,1008.39,0.094899227,0.053395588,0.049886849,0.342308757,3.163727247,11.12422372,0.183612719,1.415036994
678,17.94342798,5.54064,1.4787,3.37171,-6.19516,-1.31227,278.876,1004.83,0.108852123,0.047100027,0.05607079,0.322887888,3.273393964,10.44586766,0.245523056,1.41917115
679,25.4868586,8.52842,11.0653,0.750928,-1.74907,3.98704,274.743,1041.94,0.13974929,0.099285481,0.036505088,0.495624518,1.78745106,18.37350888,0.142590419,0.827317943
680,25.40454155,8.27917,12.2152,0.794911,-2.08267,3.58916,274.177,1038.22,0.141950311,0.07162955,0.033250086,0.472604973,1.885893533,17.53687588,0.209653007,1.176857018
681,25.26537065,8.2019,13.4586,0.857839,-2.4033,3.19835,273.617,1034.36,0.151759049,0.050561553,0.04780643,0.44872514,2.054359755,16.6948032,0.287102354,1.520787284
682,25.11365484,8.36346,14.7603,0.935645,-2.70429,2.81927,273.068,1030.41,0.157359502,0.040328526,0.081140154,0.428060264,2.235356339,15.87857808,0.364210505,1.544796081
683,24.99000685,8.81304,16.0736,1.02364,-2.97929,2.45607,272.534,1026.42,0.155253427,0.038786056,0.110526344,0.410634201,2.389709974,15.10163073,0.450565314,1.555214305
684,24.88536109,9.57341,17.3416,1.11666,-3.22256,2.11215,272.02,1022.42,0.151849328,0.04525467,0.110367298,0.397401307,2.467784566,14.34577326,0.548178515,1.561333648
685,21.10175582,10.3615,8.75157,-1.02443,0.315807,13.7251,184.119,1009.38,0.172811364,0.06169487,0.12862018,0.19836576,2.719795147,15.24529442,0.160859233,1.09170126
686,21.34893323,9.91621,9.55755,-0.920835,0.163075,13.5097,183.952,1006.55,0.166263249,0.058175153,0.128827947,0.197268954,2.806690998,14.72505261,0.191835803,1.444323837
687,21.42668158,9.67397,10.5398,-0.786217,-0.0101237,13.2593,183.794,1003.59,0.16323008,0.05744971,0.128645055,0.195728133,2.878204634,14.21261948,0.227687556,1.604141683
688,21.40624856,9.68443,11.6676,-0.626192,-0.201969,12.9742,183.647,1000.54,0.160134829,0.059892601,0.128431842,0.19344977,2.954091588,13.58381537,0.28510145,1.634685681
689,21.27464076,9.97381,12.8982,-0.447678,-0.409221,12.6556,183.515,997.433,0.160883753,0.064984287,0.127520507,0.190114907,3.012454059,12.81472652,0.369765232,1.643337629
690,21.1129066,10.5439,14.179,-0.258656,-0.627545,12.3053,183.398,994.294,0.164459374,0.070112908,0.126501244,0.186506932,3.038156892,12.05896076,0.464444088,1.644163697
691,15.94530769,17.338,2.57163,-0.495064,-4.01518,15.5245,175.092,1036.43,0.126664892,0.035688257,0.091704114,0.169328853,2.42442627,8.975748977,0.177355343,0.439635867
692,15.95674321,16.6224,3.14814,-0.340538,-4.37682,14.9536,175.507,1033.34,0.121458579,0.038064473,0.091989157,0.168264949,2.416310401,8.781122753,0.186512781,0.495610579
693,15.93517338,15.9576,3.82131,-0.172018,-4.78311,14.3235,175.915,1030.09,0.116809818,0.036351498,0.092524255,0.167139384,2.416992988,8.529130354,0.208263806,0.600729598
694,15.88803995,15.3936,4.56762,0.00511468,-5.23004,13.6393,176.319,1026.7,0.117082099,0.034790062,0.09338242,0.165473648,2.430903743,8.230492508,0.230870413,0.763761184
695,15.87951175,14.8148,7.6905,0.675451,-7.31427,10.4967,177.895,1012.38,0.122999683,0.032416426,0.09836048,0.154081065,2.601981899,6.893439947,0.395643791,1.516640589
696,15.8852371,15.1511,8.34783,0.801035,-7.87594,9.6504,178.288,1008.79,0.124494113,0.041758732,0.098898747,0.150050793,2.610226814,6.584669206,0.519747257,1.515781397
